transaction_id,old_parent,new_parent,child,type,date
2355-10_tr_01,Minister of Plantation Industries,Minister of Investment Promotion,Hingurana Sugar Industry Ltd.,department,2023-10-23
2355-10_tr_02,Minister of Plantation Industries,Minister of Investment Promotion,Ceylon Sugar (Pvt.) Ltd.,department,2023-10-23
2355-10_tr_03,Minister of Plantation Industries,Minister of Investment Promotion,Kantale Sugar Company Ltd.,department,2023-10-23
2355-10_tr_04,Minister of Plantation Industries,Minister of Investment Promotion,Sugar Cane Research Institute,department,2023-10-23
