transaction_id,old_parent,new_parent,child,type,date
2355-09_tr_02,Minister of Plantation Industries,Non Cabinet Minister of State Plantation Enterprises Reforms,Janatha Estate Development Board,department,2023-10-23
2355-09_tr_03,Minister of Plantation Industries,Non Cabinet Minister of State Plantation Enterprises Reforms,Kalubovitiyana Tea Factory Ltd.,department,2023-10-23
2355-09_tr_04,Minister of Plantation Industries,Non Cabinet Minister of State Plantation Enterprises Reforms,Sri Lanka State Plantation Corporation,department,2023-10-23
2355-09_tr_05,Minister of Plantation Industries,Non Cabinet Minister of State Plantation Enterprises Reforms,Elkaduwa Plantation Company Ltd.,department,2023-10-23
2355-09_tr_06,Minister of Plantation Industries,Non Cabinet Minister of State Plantation Enterprises Reforms,Kurunegala Plantation Company Ltd.,department,2023-10-23
2355-09_tr_07,Minister of Plantation Industries,Non Cabinet Minister of State Plantation Enterprises Reforms,Chilaw Plantation Company Ltd,department,2023-10-23
