transaction_id,parent,parent_type,child,child_type,rel_type,date
2403/38_tr_01,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403/38_tr_02,Minister of Energy,minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
2403/38_tr_03,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",minister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-25
