transaction_id,parent,parent_type,child,child_type,rel_type,date,
transaction_id,parent,parent_type,child,child_type,rel_type,date,description
2412/08_tr_54,"Minister of Finance, Planning and Economic Development",minister,Department of National Budget,minister,minister,2024-11-25,
2412/08_tr_55,"Minister of Finance, Planning and Economic Development",minister,Department of Management Services,minister,minister,2024-11-25,
2412/08_tr_56,"Minister of Finance, Planning and Economic Development",minister,Department of Public Finance,minister,minister,2024-11-25,
2412/08_tr_57,"Minister of Finance, Planning and Economic Development",minister,Department of Treasury Operations,minister,minister,2024-11-25,
2412/08_tr_58,"Minister of Finance, Planning and Economic Development",minister,Department of State Accounts,minister,minister,2024-11-25,
2412/08_tr_59,"Minister of Finance, Planning and Economic Development",minister,Department of Trade and Investment Policy,minister,minister,2024-11-25,
2412/08_tr_60,"Minister of Finance, Planning and Economic Development",minister,Department of Legal Affairs,minister,minister,2024-11-25,
2412/08_tr_61,"Minister of Finance, Planning and Economic Development",minister,Department of Management Audit,minister,minister,2024-11-25,
2412/08_tr_62,"Minister of Finance, Planning and Economic Development",minister,Department of Development Finance,minister,minister,2024-11-25,
2412/08_tr_63,"Minister of Finance, Planning and Economic Development",minister,Department of Public Enterprises,minister,minister,2024-11-25,
2412/08_tr_64,"Minister of Finance, Planning and Economic Development",minister,Office of Comptroller General,minister,minister,2024-11-25,
2412/08_tr_65,"Minister of Finance, Planning and Economic Development",minister,Department of Project Management and Monitoring,minister,minister,2024-11-25,
2412/08_tr_66,"Minister of Finance, Planning and Economic Development",minister,Department of Information Technology Management,minister,minister,2024-11-25,
2412/08_tr_67,"Minister of Finance, Planning and Economic Development",minister,Department of Inland Revenue,minister,minister,2024-11-25,
2412/08_tr_68,"Minister of Finance, Planning and Economic Development",minister,Sri Lanka Customs,minister,minister,2024-11-25,
2412/08_tr_69,"Minister of Finance, Planning and Economic Development",minister,Department of Excise,minister,minister,2024-11-25,
2412/08_tr_70,"Minister of Finance, Planning and Economic Development",minister,State Resources Management Corporation,minister,minister,2024-11-25,
2412/08_tr_71,"Minister of Finance, Planning and Economic Development",minister,National Lotteries Board,minister,minister,2024-11-25,
2412/08_tr_72,"Minister of Finance, Planning and Economic Development",minister,Development Lotteries Board,minister,minister,2024-11-25,
2412/08_tr_73,"Minister of Finance, Planning and Economic Development",minister,Department of Valuation,minister,minister,2024-11-25,
2412/08_tr_74,"Minister of Finance, Planning and Economic Development",minister,Department of Import and Export Control,minister,minister,2024-11-25,
2412/08_tr_75,"Minister of Finance, Planning and Economic Development",minister,Central Bank of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_76,"Minister of Finance, Planning and Economic Development",minister,"All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions",minister,minister,2024-11-25,
2412/08_tr_77,"Minister of Finance, Planning and Economic Development",minister,Insurance Regulatory Commission of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_78,"Minister of Finance, Planning and Economic Development",minister,Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,minister,minister,2024-11-25,
2412/08_tr_79,"Minister of Finance, Planning and Economic Development",minister,Credit Information Bureau of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_80,"Minister of Finance, Planning and Economic Development",minister,Securities and Exchange Commission of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_81,"Minister of Finance, Planning and Economic Development",minister,Sri Lanka Accounting and Auditing Standard Monitoring Board,minister,minister,2024-11-25,
2412/08_tr_82,"Minister of Finance, Planning and Economic Development",minister,Public Utilities Commission of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_83,"Minister of Finance, Planning and Economic Development",minister,Sri Lanka Export Credit Insurance Corporation,minister,minister,2024-11-25,
2412/08_tr_84,"Minister of Finance, Planning and Economic Development",minister,Housing Development Finance Corporation,minister,minister,2024-11-25,
2412/08_tr_85,"Minister of Finance, Planning and Economic Development",minister,State Mortgage and Investment Bank,minister,minister,2024-11-25,
2412/08_tr_86,"Minister of Finance, Planning and Economic Development",minister,Regional Development Bank,minister,minister,2024-11-25,
2412/08_tr_87,"Minister of Finance, Planning and Economic Development",minister,Tax Appeals Commission,minister,minister,2024-11-25,
2412/08_tr_88,"Minister of Finance, Planning and Economic Development",minister,Department of Census and Statistics,minister,minister,2024-11-25,
2412/08_tr_89,"Minister of Finance, Planning and Economic Development",minister,Institute of Policy Studies,minister,minister,2024-11-25,
2412/08_tr_90,"Minister of Finance, Planning and Economic Development",minister,Sustainable Development Council,minister,minister,2024-11-25,
2412/08_tr_91,"Minister of Finance, Planning and Economic Development",minister,Public Service Mutual Provident Fund,minister,minister,2024-11-25,
2412/08_tr_92,"Minister of Finance, Planning and Economic Development",minister,"Strike, Riot, Civil Commotion and Terrorism Fund",minister,minister,2024-11-25,
2412/08_tr_93,"Minister of Finance, Planning and Economic Development",minister,National Insurance Trust Fund,minister,minister,2024-11-25,
2412/08_tr_94,"Minister of Finance, Planning and Economic Development",minister,Employees’ Trust Fund,minister,minister,2024-11-25,
2412/08_tr_95,"Minister of Finance, Planning and Economic Development",minister,Lady Lochore Fund,minister,minister,2024-11-25,
2412/08_tr_96,"Minister of Finance, Planning and Economic Development",minister,Colombo Port City Economic Commission,minister,minister,2024-11-25,
2412/08_tr_97,"Minister of Finance, Planning and Economic Development",minister,Public Debt Management Office,minister,minister,2024-11-25,
2412/08_tr_98,"Minister of Finance, Planning and Economic Development",minister,Techno Park Development Company (Pvt) Limited,minister,minister,2024-11-25,
2412/08_tr_99,"Minister of Finance, Planning and Economic Development",minister,Board of Investment of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_100,"Minister of Finance, Planning and Economic Development",minister,National Credit Guarantee Institution Limited,minister,minister,2024-11-25,
2412/08_tr_101,"Minister of Finance, Planning and Economic Development",minister,Sri Lankan Air Lines Limited and its subsidiaries,minister,minister,2024-11-25,
2412/08_tr_102,"Minister of Finance, Planning and Economic Development",minister,Welfare Benefits Board,minister,minister,2024-11-25,
2412/08_tr_103,"Minister of Finance, Planning and Economic Development",minister,Canwill Holdings (Pvt) Ltd,minister,minister,2024-11-25,
2412/08_tr_104,"Minister of Finance, Planning and Economic Development",minister,Provident Property Lanka Ltd ,minister,minister,2024-11-25,(Institution being reviewed)
